efpd,master_bu,ras_bu,delta_bu,master_ppm,ras_ppm,delta_ppm,master_keff,ras_keff,delta_pcm,master_ao,ras_ao,delta_ao,master_fqn,ras_fqn,delta_fqn,master_frn,ras_frn,delta_frn,master_fqp,ras_fqp,delta_fqp,master_frp,ras_frp,delta_frp,master_tfavg_c,ras_tfavg_c,delta_tfavg_c,master_tmavg_c,ras_tmavg_c,delta_tmavg_c,master_dmavg,ras_dmavg,delta_dmavg
90.0,3.4736,3.473615935190727,1.5935190727400794e-05,676.79,665.8003342412759,-10.989665758724072,1.0,1.000017789144369,1.7788827920917072,-0.0475,-0.045845989333377635,0.0016540106666223658,1.6728,1.6321823993619076,-0.0406176006380925,1.2686,1.2553820133454883,-0.013217986654511682,1.8757,1.8374709668667044,-0.03822903313329551,1.4419,1.4324940799035912,-0.009405920096408726,673.57,684.9962375902365,11.426237590236497,308.11,308.0983656003168,-0.0116343996832029,0.707301,0.7072899431162872,-1.1056883712723398e-05
105.0,4.0526,4.052554000082944,-4.599991705589446e-05,663.17,650.8332684325316,-12.336731567468405,1.0,1.000019060262204,1.9059898917483942,-0.0446,-0.04264566304807504,0.0019543369519249634,1.6712,1.6292243699890363,-0.041975630010963716,1.275,1.2609196437401227,-0.014080356259877247,1.8615,1.8173579077408277,-0.044142092259172205,1.4331,1.4230058872177367,-0.010094112782263354,670.42,685.6682008490957,15.248200849095724,308.08,308.0693759193489,-0.010624080651098211,0.707359,0.707356835278792,-2.164721207953413e-06
120.0,4.6315,4.631486857663029,-1.3142336970695112e-05,650.12,636.832785958715,-13.287214041284983,1.000001,1.0000035511565208,0.2551144910212244,-0.0432,-0.040660214118290156,0.0025397858817098468,1.6772,1.6334714733855376,-0.04372852661446247,1.282,1.2671709497710224,-0.014829050228977625,1.8639,1.8163959036351813,-0.04750409636481856,1.4285,1.4149257671338538,-0.01357423286614634,667.24,685.8099745219972,18.56997452199721,308.06,308.04878185116786,-0.01121814883214256,0.707391,0.7074000224025054,9.022402505443061e-06
135.0,5.2104,5.210421124580653,2.1124580652731595e-05,638.63,624.4912350007772,-14.138764999222758,1.0,0.9999907312988902,-0.9268787019456326,-0.0439,-0.04033566652273251,0.0035643334772674923,1.6921,1.6462639630775426,-0.0458360369224573,1.2899,1.2743300391415795,-0.01556996085842055,1.8772,1.8253155424837801,-0.05188445751621984,1.4341,1.4190020123344032,-0.01509798766559678,663.99,685.4273445031621,21.43734450316208,308.06,308.0419567644076,-0.018043235592415385,0.707378,0.7074065752528502,2.8575252850271404e-05
150.0,5.7894,5.7893518440238925,-4.815597610718925e-05,629.5,614.3546673240226,-15.145332675977443,1.000001,1.0000062011951356,0.5201157681100632,-0.0465,-0.04134708257592236,0.005152917424077641,1.7197,1.6711678302103037,-0.04853216978969632,1.3001,1.2836535308541264,-0.016446469145873666,1.9035,1.8463439892650184,-0.057156010734981555,1.4422,1.4252801468275622,-0.016919853172437715,660.57,684.7566524672901,24.18665246729006,308.08,308.0432478229611,-0.036752177038863465,0.707328,0.7073879216141958,5.992161419587916e-05
165.0,6.3683,6.368287998454205,-1.2001545794504409e-05,623.06,607.7513387504806,-15.308661249519332,1.0,0.999988570418727,-1.142971190981612,-0.0505,-0.04371248414372692,0.006787515856273081,1.7542,1.7079872774285716,-0.04621272257142839,1.3099,1.29455205755198,-0.015347942448020069,1.9339,1.880107391065131,-0.053792608934869035,1.4508,1.4340704157283648,-0.01672958427163529,656.95,683.9469913457652,26.996991345765196,308.1,308.055628239395,-0.04437176060503134,0.70725,0.7073361157913245,8.611579132444813e-05
180.0,6.9473,6.9472235849803505,-7.641501964972264e-05,618.07,603.7941150813824,-14.275884918617635,0.999999,1.0000078193382531,0.8819278111582562,-0.0538,-0.04679725856547215,0.007002741434527851,1.7729,1.7436609142257218,-0.02923908577427814,1.3169,1.3053905178755223,-0.011509482124477666,1.9429,1.9071254176852541,-0.03577458231474595,1.4531,1.4409943972834454,-0.012105602716554698,653.26,682.8659902723699,29.605990272369922,308.13,308.07178745234546,-0.05821254765453432,0.707178,0.7072725876934766,9.45876934765888e-05
195.0,7.5262,7.526157287041783,-4.2712958217450137e-05,611.17,599.6665649232286,-11.503435076771325,0.999999,1.000006219801384,0.7219763698218529,-0.0537,-0.047167999010933284,0.0065320009890667136,1.7495,1.7430779857971643,-0.006422014202835724,1.3172,1.3094039973081564,-0.007796002691843551,1.907,1.8983126973372195,-0.008687302662780505,1.4438,1.4367382433658182,-0.007061756634181737,649.69,681.5239309902163,31.83393099021623,308.13,308.07536674237724,-0.05463325762275417,0.707157,0.7072508081164212,9.380811642112352e-05
210.0,8.1051,8.105095078596921,-4.921403078839148e-06,598.74,589.9992637091059,-8.74073629089412,1.000001,1.0000038855106692,0.28854965721247794,-0.0472,-0.04123360943623121,0.005966390563768791,1.6794,1.6863281104241592,0.006928110424159195,1.3099,1.3037364275761665,-0.006163572423833585,1.8272,1.8384598126593252,0.011259812659325297,1.4307,1.4243219050238054,-0.0063780949761946815,646.37,679.9637276778097,33.59372767780974,308.11,308.0413911307627,-0.06860886923732323,0.707246,0.7073429530446961,9.695304469603538e-05
225.0,8.6841,8.684034455506902,-6.55444930988125e-05,578.82,572.0292191004988,-6.790780899501215,1.0,0.9999893813223427,-1.0618790414751444,-0.0331,-0.02818299527499556,0.0049170047250044376,1.5991,1.6043330748423392,0.005233074842339258,1.2977,1.2921400498124005,-0.005559950187599583,1.7483,1.7483957829276138,9.57829276138078e-05,1.4172,1.4128611689618251,-0.004338831038174895,643.16,678.1818643373538,35.021864337353804,308.02,307.9745368765747,-0.045463123425292906,0.707485,0.7075360590932516,5.105909325153757e-05
